EducationLevel,Age,Salary,YearsOfExperience,Gender,JobTitle
Bachelor's,32,90000,5,Male,Accountant
Master's,28,65000,3,Female,Business Analyst
PhD,45,,15,Male,Data Scientist
Bachelor's,36,60000,,Female,Software Engineer
Master's,52,200000,20,Male,Software Engineer
Bachelor's,29,55000,2,Male,Marketing Manager
Master's,42,120000,12,Female,Marketing Manager
Bachelor's,31,80000,,Male,Accountant
Bachelor's,26,45000,1,Female,Accountant
PhD,38,110000,10,Male,Business Analyst
Master's,29,75000,3,Male,Software Engineer
Bachelor's,48,140000,18,Female,Software Engineer
Bachelor's,35,65000,6,Male,Marketing Manager
Master's,40,130000,14,Female,Marketing Manager
Bachelor's,27,40000,2,Male,Software Engineer
Bachelor's,,125000,16,Male,Business Analyst
Master's,33,90000,7,Female,Data Scientist
PhD,39,,12,Male,Accountant
Bachelor's,25,35000,0,Female,Data Scientist
Bachelor's,51,180000,22,Male,Marketing Manager
Master's,34,80000,5,Female,Data Scientist
Master's,47,190000,19,Male,Data Scientist
Bachelor's,30,50000,,Male,Business Analyst
Bachelor's,36,60000,9,Female,Software Engineer
Master's,41,140000,13,Male,Accountant
Bachelor's,28,45000,3,Female,Software Engineer
Master's,37,110000,11,Female,Data Scientist
Bachelor's,24,40000,1,Male,Data Scientist
PhD,43,140000,15,Female,Business Analyst
Master's,33,90000,6,Male,Data Scientist
Bachelor's,50,250000,25,Male,Accountant
Bachelor's,31,55000,4,Female,Marketing Manager
Master's,29,75000,3,Male,Marketing Manager
Bachelor's,39,65000,10,Female,Accountant
PhD,46,170000,20,Male,Marketing Manager
Bachelor's,27,45000,2,Male,Marketing Manager
Bachelor's,35,60000,7,Female,Accountant
Master's,42,115000,14,Male,Accountant
Bachelor's,26,40000,1,Female,Marketing Manager
Bachelor's,49,160000,21,Male,Accountant
Master's,34,80000,5,Female,Business Analyst
Master's,48,190000,18,Male,Data Scientist
Bachelor's,30,60000,3,Male,Software Engineer
Bachelor's,36,45000,8,Female,Accountant
Master's,41,130000,13,Male,Accountant
Bachelor's,28,40000,2,Female,Marketing Manager
Bachelor's,32,75000,5,Male,Accountant
Master's,45,180000,16,Female,Accountant
PhD,38,120000,11,Male,Data Scientist
Bachelor's,25,35000,0,Male,Business Analyst
Bachelor's,,130000,22,Female,Marketing Manager
Master's,33,85000,7,Male,Accountant
Bachelor's,40,60000,12,Female,Marketing Manager
Master's,47,200000,19,Male,Marketing Manager
Bachelor's,29,50000,3,Female,Marketing Manager
Bachelor's,36,95000,9,Male,Marketing Manager
Master's,27,65000,2,Female,Data Scientist
PhD,43,140000,17,Male,Accountant
Bachelor's,30,55000,4,Female,Business Analyst
Master's,35,105000,7,Male,Business Analyst
Master's,51,170000,23,Female,Business Analyst
Bachelor's,29,,3,Male,Marketing Manager
Bachelor's,40,80000,12,Female,Marketing Manager
PhD,47,180000,21,Male,Business Analyst
Bachelor's,26,35000,1,Male,Accountant
Master's,38,90000,10,Female,Software Engineer
Bachelor's,46,120000,19,Male,Data Scientist
Bachelor's,31,45000,5,Female,Data Scientist
Master's,34,90000,8,Male,Business Analyst
Master's,49,150000,18,Female,Software Engineer
Bachelor's,33,65000,6,Male,Marketing Manager
Bachelor's,39,70000,11,Female,Data Scientist
PhD,45,,16,Male,Software Engineer
